query,run1,run2,run3,avg
variant_q5_v1.sql,143.94117784500122,138.51612281799316,136.0589530467987,139.50541790326437
variant_q5_v2.sql,136.47521543502808,137.27745699882507,138.36763215065002,137.37343486150107
variant_q5_v3.sql,134.26606464385986,127.33309841156006,137.02278089523315,132.87398131688437
variant_q5_v4.sql,157.83794474601746,141.07869505882263,144.80285048484802,147.90649676322937
variant_q6_v1.sql,16.67543888092041,14.175760746002197,11.648783922195435,14.166661183039347
variant_q6_v2.sql,13.330384731292725,11.03789234161377,12.350064039230347,12.239447037378946
variant_q6_v3.sql,12.210979700088501,13.213996410369873,11.546003580093384,12.323659896850586
variant_q6_v4.sql,11.861347198486328,13.66735291481018,13.564681053161621,13.031127055486044
variant_q7_v1.sql,30.20737624168396,25.131914854049683,25.420172691345215,26.91982126235962
variant_q7_v2.sql,20.815658569335938,20.532100439071655,21.210329294204712,20.85269610087077
variant_q7_v3.sql,21.808725833892822,21.268317937850952,22.40185856819153,21.826300779978435
variant_q7_v4.sql,19.80903172492981,21.322696447372437,19.73642921447754,20.28938579559326
variant_q8_v1.sql,135.42191743850708,139.2856011390686,140.3299732208252,138.34583059946695
variant_q8_v2.sql,139.94107127189636,140.46936225891113,136.8934292793274,139.1012876033783
variant_q8_v3.sql,139.49154496192932,140.5042233467102,137.52218437194824,139.17265089352927
variant_q8_v4.sql,136.48063588142395,142.68077182769775,149.89681911468506,143.01940894126892
variant_q9_v1.sql,0.8697242736816406,0.16437482833862305,0.17425322532653809,0.4027841091156006
variant_q9_v2.sql,0.20186424255371094,0.20290923118591309,0.21123170852661133,0.20533506075541177
variant_q9_v3.sql,0.1760556697845459,0.1656959056854248,0.16508269309997559,0.1689447561899821
variant_q9_v4.sql,0.18094205856323242,0.19758915901184082,0.2030811309814453,0.19387078285217285
